DATE,RAIN,SNOW,SUN,TEMP,WIND
2021-01-19,0.1,9.0,0.3,-4.8,1.7
2021-01-20,0.0,9.0,0.0,-2.9,2.7
2021-01-21,0.0,8.0,0.0,-3.5,2.3
2021-01-22,0.0,9.0,0.1,-4.8,1.3
2021-01-23,3.2,8.0,0.0,-4.1,1.0
2021-01-24,0.9,8.0,0.0,-4.2,2.3
2021-01-25,0.0,8.0,0.0,-6.4,2.3
2021-01-26,2.3,8.0,0.0,-8.8,1.7
2021-01-27,0.1,7.0,0.0,-1.7,2.7
2021-01-28,3.6,9.0,0.0,2.5,3.0
2021-01-29,8.3,5.0,0.0,5.0,6.3
2021-01-30,1.2,0.0,0.5,9.5,6.3
2021-01-31,0.0,0.0,4.1,7.0,6.7
2021-02-01,0.0,0.0,0.0,5.5,6.0
2021-02-02,0.4,0.0,0.0,3.0,5.0
2021-02-03,3.4,0.0,4.5,1.7,4.0
2021-02-04,0.0,0.0,0.1,4.4,6.3
2021-02-05,2.7,0.0,0.4,4.6,3.7
2021-02-06,8.0,0.0,6.8,1.4,3.0
2021-02-07,11.6,0.0,0.8,0.9,2.3
2021-02-08,2.2,0.0,1.9,-0.1,2.3
2021-02-09,0.1,0.0,0.4,-0.3,2.3
2021-02-10,0.0,0.0,2.7,-0.3,2.0
2021-02-11,0.0,0.0,0.0,-1.8,3.0
2021-02-12,0.0,0.0,0.0,-1.0,2.7
2021-02-13,0.0,5.0,0.0,-0.8,3.7
2021-02-14,0.0,4.0,0.0,-0.3,1.7
2021-02-15,2.0,2.0,0.0,1.0,1.3
2021-02-16,1.5,8.0,0.0,1.2,1.3
2021-02-17,0.4,3.0,0.0,1.6,1.7
2021-02-18,0.0,2.0,0.0,1.6,1.0
2021-02-19,0.0,2.0,0.0,0.5,5.0
2021-02-20,0.0,2.0,1.0,-1.2,4.0
2021-02-21,0.0,3.0,0.4,-3.0,2.0
2021-02-22,0.0,3.0,0.0,-3.6,4.0
2021-02-23,0.0,11.0,0.0,-1.6,2.0
2021-02-24,0.0,24.0,2.3,1.6,1.7
2021-02-25,0.0,12.0,0.0,4.6,1.7
2021-02-26,2.5,9.0,0.0,2.9,4.0
2021-02-27,0.0,4.0,0.0,2.3,2.0
2021-02-28,0.0,0.0,0.0,3.2,1.3
2021-03-01,0.0,0.0,0.0,2.3,4.0
2021-03-02,0.0,0.0,9.8,1.6,3.0
2021-03-03,0.0,0.0,1.8,1.4,3.0
2021-03-04,9.9,0.0,10.2,3.5,2.3
2021-03-05,0.6,0.0,10.3,4.8,3.7
2021-03-06,0.0,0.0,9.4,6.8,1.3
2021-03-07,0.0,0.0,0.0,7.8,1.3
2021-03-08,0.9,0.0,0.0,7.4,2.0
2021-03-09,0.0,0.0,0.0,5.1,1.0
2021-03-10,0.0,0.0,3.1,8.3,3.0
2021-03-11,0.5,0.0,0.0,-1.6,2.3
2021-03-12,0.1,0.0,0.0,-1.8,2.7
2021-03-13,0.0,2.0,0.0,-3.0,3.3
2021-03-14,1.1,0.0,8.6,-2.6,4.0
2021-03-15,0.5,0.0,4.1,-2.3,3.7
2021-03-16,0.7,0.0,10.9,-1.1,3.0
2021-03-17,0.6,0.0,9.0,1.1,4.7
2021-03-18,0.8,0.0,1.2,1.0,4.3
2021-03-19,1.8,7.0,0.3,2.4,4.0
2021-03-20,0.0,2.0,9.6,6.5,2.7
2021-03-21,1.4,0.0,0.2,2.0,5.0
2021-03-22,0.0,0.0,1.6,-0.6,3.0
2021-03-23,0.0,0.0,7.9,-3.6,5.7
2021-03-24,0.0,0.0,9.5,-3.2,6.0
2021-03-25,0.0,0.0,1.2,-1.8,4.7
2021-03-26,0.0,0.0,0.0,-1.2,5.0
2021-03-27,0.2,0.0,0.0,-1.0,3.0
2021-03-28,0.1,0.0,0.1,1.8,2.7
2021-03-29,0.0,1.0,3.0,3.1,4.7
2021-03-30,0.0,0.0,2.5,3.4,2.0
2021-03-31,0.0,0.0,0.0,0.9,5.0
2021-04-01,0.0,0.0,2.8,0.8,2.7
2021-04-02,0.0,0.0,0.5,1.9,4.0
2021-04-03,0.0,0.0,0.0,1.8,2.3
2021-04-04,0.0,0.0,0.0,2.1,3.3
2021-04-05,2.6,0.0,0.0,2.8,2.3
2021-04-06,0.8,0.0,0.0,3.0,3.0
2021-04-07,0.1,0.0,0.1,3.6,2.7
2021-04-08,0.0,0.0,9.9,5.4,3.0
2021-04-09,0.0,0.0,2.7,7.9,1.0
2021-04-10,0.0,0.0,2.8,8.7,5.3
2021-04-11,0.0,0.0,1.4,11.8,4.7
2021-04-12,3.9,0.0,2.8,10.8,4.3
2021-04-13,0.0,0.0,4.4,11.6,5.3
2021-04-14,0.0,0.0,4.3,12.7,1.0
2021-04-15,1.2,0.0,11.0,15.5,2.3
2021-04-16,0.1,0.0,7.6,17.3,1.7
2021-04-17,0.3,0.0,5.2,17.6,1.0
2021-04-18,0.1,0.0,10.2,20.2,2.7
2021-04-19,0.2,0.0,0.8,12.6,3.7
2021-04-20,0.0,0.0,0.0,9.7,3.0
2021-04-21,1.3,0.0,10.0,14.2,4.0
2021-04-22,0.0,0.0,9.1,15.5,1.7
2021-04-23,0.0,0.0,8.2,15.7,3.7
2021-04-24,0.0,0.0,12.2,17.1,3.3
2021-04-25,0.0,0.0,10.1,19.5,2.0
2021-04-26,0.0,0.0,11.9,21.0,3.0
2021-04-27,0.0,0.0,3.4,13.6,2.3
