Období,Vstup,Výstup,Obrat
18.2.2022,734669,730950,1465619
19.2.2022,408068,403517,811585
20.2.2022,337052,334742,671794
21.2.2022,792542,791563,1584105
22.2.2022,828246,825769,1654015
23.2.2022,848836,847378,1696214
24.2.2022,831516,835533,1667049
25.2.2022,771197,768590,1539787
26.2.2022,410596,403097,813693
27.2.2022,403989,400080,804069
28.2.2022,824847,826472,1651319
1.3.2022,872318,873029,1745347
2.3.2022,870451,873933,1744384
3.3.2022,865975,869968,1735943
4.3.2022,823097,821275,1644372
5.3.2022,433015,429526,862541
6.3.2022,383335,382228,765563
7.3.2022,789306,790754,1580060
8.3.2022,836076,837938,1674014
9.3.2022,833011,837032,1670043
10.3.2022,823542,826688,1650230
11.3.2022,766511,768645,1535156
12.3.2022,478928,473065,951993
13.3.2022,419711,417397,837108
14.3.2022,821816,831527,1653343
15.3.2022,844630,848746,1693376
16.3.2022,855882,859672,1715554
17.3.2022,838154,841266,1679420
18.3.2022,793272,794953,1588225
19.3.2022,493035,489712,982747
20.3.2022,437983,435718,873701
21.3.2022,889444,896776,1786220
22.3.2022,919365,924690,1844055
23.3.2022,936784,941191,1877975
24.3.2022,918307,922602,1840909
25.3.2022,865720,863542,1729262
26.3.2022,540938,531481,1072419
27.3.2022,456566,451024,907590
28.3.2022,898415,897325,1795740
29.3.2022,908100,905090,1813190
30.3.2022,921942,918714,1840656
31.3.2022,910374,915389,1825763
1.4.2022,861046,860845,1721891
2.4.2022,502558,501217,1003775
3.4.2022,423021,424265,847286
4.4.2022,915600,920213,1835813
5.4.2022,917933,922754,1840687
6.4.2022,944001,947975,1891976
7.4.2022,941122,944911,1886033
8.4.2022,891252,888643,1779895
9.4.2022,512809,507914,1020723
10.4.2022,445820,442483,888303
11.4.2022,950180,955334,1905514
12.4.2022,988632,992466,1981098
13.4.2022,1014022,1012819,2026841
14.4.2022,891488,887758,1779246
